ensembl_gene_id	gene_biotype	external_gene_name
ENSMFAG00000015367	misc_RNA	RF00019
ENSMFAG00000016020	protein_coding	TROVE2
ENSMFAG00000016170	miRNA	MIR181B1
ENSMFAG00000016193	snoRNA	RF00096
ENSMFAG00000016665	rRNA	RF00001
ENSMFAG00000016775	misc_RNA	RF00019
ENSMFAG00000016785	snoRNA	RF00152
ENSMFAG00000016854	misc_RNA	RF00019
ENSMFAG00000016925	misc_RNA	RF00019
ENSMFAG00000017437	protein_coding	IER5
ENSMFAG00000018172	misc_RNA	RF00017
ENSMFAG00000018318	protein_coding	OR9G4
ENSMFAG00000018469	rRNA	RF00001
ENSMFAG00000018855	snRNA	RF00026
ENSMFAG00000019063	pseudogene	
ENSMFAG00000019118	protein_coding	
ENSMFAG00000019211	snoRNA	RF00284
ENSMFAG00000019261	misc_RNA	RF00017
ENSMFAG00000019656	misc_RNA	RF00100
ENSMFAG00000019724	snRNA	RF00020
ENSMFAG00000019877	snRNA	RF00020
ENSMFAG00000020016	misc_RNA	RF00017
ENSMFAG00000020057	snoRNA	RF00402
ENSMFAG00000020196	protein_coding	OR2W3
ENSMFAG00000020221	snRNA	RF00026
ENSMFAG00000020383	miRNA	MIR214
ENSMFAG00000020831	misc_RNA	RF02102
ENSMFAG00000020841	misc_RNA	RF00017
ENSMFAG00000020844	rRNA	RF00001
ENSMFAG00000021295	misc_RNA	RF00019
ENSMFAG00000021392	rRNA	RF00001
ENSMFAG00000021471	rRNA	RF00001
ENSMFAG00000021668	protein_coding	
ENSMFAG00000021763	misc_RNA	RF00019
ENSMFAG00000021769	protein_coding	OR2M4
ENSMFAG00000021924	rRNA	RF00001
ENSMFAG00000021978	protein_coding	PIGC
ENSMFAG00000022091	miRNA	
ENSMFAG00000022253	protein_coding	METTL18
ENSMFAG00000022314	rRNA	RF00001
ENSMFAG00000022659	miRNA	
ENSMFAG00000022865	rRNA	RF00001
ENSMFAG00000023005	protein_coding	
ENSMFAG00000023098	protein_coding	EXO1
ENSMFAG00000023144	protein_coding	KIF26B
ENSMFAG00000023652	snRNA	RF00066
ENSMFAG00000023722	snRNA	RF00066
ENSMFAG00000023775	snoRNA	RF00397
ENSMFAG00000024078	protein_coding	
ENSMFAG00000024161	snRNA	RF00015
ENSMFAG00000024621	rRNA	RF00001
ENSMFAG00000025196	protein_coding	
ENSMFAG00000025363	protein_coding	
ENSMFAG00000025647	pseudogene	
ENSMFAG00000025838	protein_coding	
ENSMFAG00000026063	snRNA	RF00003
ENSMFAG00000026117	protein_coding	NID1
ENSMFAG00000026603	protein_coding	OR13G1
ENSMFAG00000027071	protein_coding	
ENSMFAG00000028183	protein_coding	
ENSMFAG00000029066	protein_coding	PTGS2
ENSMFAG00000029148	protein_coding	
ENSMFAG00000029224	protein_coding	
ENSMFAG00000029668	protein_coding	
ENSMFAG00000029702	protein_coding	
ENSMFAG00000029820	protein_coding	OR2B11
ENSMFAG00000030010	protein_coding	ZNF672
ENSMFAG00000030327	protein_coding	B3GALT2
ENSMFAG00000030333	protein_coding	
ENSMFAG00000030341	processed_pseudogene	
ENSMFAG00000030455	protein_coding	PRDX6
ENSMFAG00000030675	protein_coding	KIFAP3
ENSMFAG00000030703	protein_coding	ARV1
ENSMFAG00000030817	protein_coding	KCNT2
ENSMFAG00000030833	protein_coding	GREM2
ENSMFAG00000031055	protein_coding	RGS7
ENSMFAG00000031398	protein_coding	TOR1AIP1
ENSMFAG00000031474	protein_coding	ANGPTL1
